dias;S;I;R;N
0;999.0;1.0;0.0;1000.0
1;995.1729265078102;3.277052789524152;1.5500207026657278;1000.0000000000001
2;982.7879393019978;10.645429366590447;6.5666313314118;1000.0
3;944.1422365812409;33.63226827595665;22.225495142802433;1000.0
4;836.0650078625323;97.87075305390884;66.06423908355872;999.9999999999999
5;607.7068785512374;233.29056165854766;159.0025597902148;999.9999999999999
6;320.9570863517246;402.14851037378907;276.8944032744863;1000.0
7;126.70120552157093;514.0546569251635;359.24413755326555;1000.0
8;42.975370975739025;558.8841289296913;398.14050009456946;999.9999999999998
9;13.844039568883893;570.6990572545718;415.4569031765441;999.9999999999998
10;4.416997537842979;570.643300514891;424.9397019472657;999.9999999999998
11;1.415854883928006;566.7553440323082;431.82880108376355;999.9999999999998
12;0.4580368065131212;561.6873302906054;437.85463290288106;999.9999999999995
13;0.14974838248038225;556.2823298104113;443.56792180710784;999.9999999999995
14;0.049494757328802694;550.8070259644701;449.1434792782007;999.9999999999995
15;0.016538990219513165;545.3460616263873;454.63739938339285;999.9999999999995
16;0.005587083943714568;539.9263101935796;460.0681027224764;999.9999999999998
17;0.0019078651626110855;534.5561482267233;465.44194390811384;999.9999999999998
18;6.584944109070377E-4;529.2379709132013;470.7613705923875;999.9999999999997
19;2.2969578336022326E-4;523.9722208907299;476.02754941348655;999.9999999999998
20;8.096643022170852E-5;518.7586988984506;481.24122013511885;999.9999999999997
21;2.8837845260422858E-5;513.596994695071;486.40297646708325;999.9999999999994
22;1.0377235354821612E-5;508.4866302237794;491.51335939898485;999.9999999999995
23;3.7723952889547996E-6;503.42710765658154;496.5728885710229;999.9999999999998
24;1.3852413499271378E-6;498.41792566419605;501.58207295056235;999.9999999999998
25;5.137631118011007E-7;493.45858496129637;506.5414145249402;999.9999999999997
26;1.9243609438228454E-7;488.5485901947106;511.4514096128529;999.9999999999995
27;7.278697086651556E-8;483.68745057203785;516.3125493551748;999.9999999999997
28;2.7798542865391674E-8;478.8746800522422;521.1253199199588;999.9999999999995
29;1.0718891845364302E-8;474.1097973825971;525.8902026066835;999.9999999999995
