dias;S;I;R;N
0;99.0;1.0;0.0;100.0
1;98.79671878559999;1.11169672864;0.09158448576;99.99999999999999
2;98.57122207051691;1.2355760868544368;0.19320184262863616;99.99999999999999
3;98.32120204698663;1.3728978527717;0.30590010024164505;99.99999999999997
4;98.04413923347316;1.5250359298968623;0.4308248366299441;99.99999999999996
5;97.73728968102346;1.6934848654608263;0.5692254535156898;99.99999999999997
6;97.3976730706875;1.879865770266828;0.7224611590456403;99.99999999999997
7;97.02206223643805;2.0859313261029557;0.8920064374589577;99.99999999999996
8;96.60697476904393;2.3135694974847274;1.079455733471311;99.99999999999996
9;96.14866749206463;2.5648054870846915;1.2865270208506536;99.99999999999999
10;95.64313474978681;2.8418013898278405;1.515063860385334;99.99999999999999
11;95.08611160501702;3.146852911446405;1.767035483536562;99.99999999999999
12;94.47308320636037;3.4823824268272903;2.0445343668123277;99.99999999999999
13;93.79930174116193;3.850927567024459;2.3497706918136076;99.99999999999999
14;93.05981252923061;4.25512444875165;2.6850630220177303;99.99999999999999
15;92.24949091708926;4.697684606409693;3.0528244765010353;99.99999999999999
16;91.36309168133907;5.1813646668705715;3.455543651790334;99.99999999999999
17;90.3953126164536;5.708927836764537;3.8957595467818367;99.99999999999996
18;89.34087383613507;6.2830963688344035;4.376029795030504;99.99999999999999
19;88.19461402429425;6.906494357699811;4.898891618005922;99.99999999999999
20;86.95160439698373;7.581580506055656;5.466815096960603;99.99999999999999
21;85.6072804484877;8.310570917838767;6.082148633673517;99.99999999999997
22;84.15759062997745;9.095352527913725;6.747056842108812;99.99999999999997
23;82.59915993988892;9.937388471636861;7.463451588474199;99.99999999999999
24;80.92946500738692;10.837617521314215;8.232917471298832;99.99999999999997
25;79.14701567216552;11.796350639908077;9.056633687926361;99.99999999999997
26;77.25153639340225;12.813168671686052;9.93529493491167;99.99999999999997
27;75.24413919007523;13.886826125284326;10.869034684640413;99.99999999999997
28;73.12747839907578;15.015166802450642;11.857354798473539;99.99999999999996
29;70.90587654511684;16.195057562113554;12.89906589276958;99.99999999999997
