dias;S;I;R;N
0;999.0;1.0;0.0;1000.0
1;996.003;3.0968999999999998;0.9001000000000002;1000.0
2;986.7494349279001;9.579399550469999;3.6711655216300008;1000.0000000000001
3;958.3920336477755;29.453041536701384;12.15492481552317;1000.0
4;873.7093525213606;88.81085960699482;37.479787871644646;1000.0000000000002
5;640.9247165890819;252.00861199082772;107.06667142009047;1000.0
6;156.3690719343944;591.9091546798988;251.72177338570677;1000.0000000000001
7;-121.29978362590867;787.9509403779025;333.34884324800623;1000.0
8;165.43505210110385;589.448744017848;245.1162038810483;1000.0
9;-127.11139893146486;795.8478568315576;331.26354209990734;1000.0000000000001
10;176.37260432393754;585.5945785748436;238.032817101219;1000.0000000000002
11;-133.47591837973397;804.0452452427497;329.43067313698435;1000.0
12;188.4861142031694;580.8326532477075;230.6812325491232;1000.0000000000002
13;-139.95055523576252;812.2336202946542;327.7169349411084;1000.0
14;201.06708318840862;575.6584921919098;223.2744246196817;1000.0
15;-146.1708386245852;820.1588487903906;326.01198983419465;1000.0000000000001
16;213.4790815746121;570.5178537106699;216.00306471471808;1000.0000000000001
17;-151.90180072160604;827.6579810467445;324.24381967486175;1000.0000000000002
18;225.2664123862221;565.7307682672918;209.0028193464863;1000.0000000000001
19;-157.0540092459999;834.6703580156982;322.38365123030184;1000.0000000000002
20;236.21096912947866;561.4516556559201;202.33737521460125;1000.0
21;-161.65214997602703;841.2154237510497;320.4367262249775;1000.0000000000002
22;246.3006955510284;557.6911469943846;196.0081574545871;1000.0
23;-165.77845667107482;847.3529358199537;318.4255208511212;1000.0000000000001
24;255.64012919673388;554.3784024643278;189.9814683389384;1000.0
25;-169.52397009284516;853.1487267796192;316.37524331322606;1000.0000000000001
26;264.36350763716615;551.4217208316508;184.21477153118326;1000.0000000000002
27;-172.96383328196612;858.6573706979923;314.30646258397394;1000.0000000000001
28;272.5861776532506;548.7424638358984;178.6713585108511;1000.0000000000001
29;-176.15265454591338;863.918946138075;312.23370840783855;1000.0000000000001
30;280.3921924782762;546.2837376506748;173.32406987104918;1000.0000000000002
31;-179.12889226702418;868.9621298635739;310.16676240345055;1000.0000000000002
32;287.83977896634383;544.0065987319838;168.15362230167264;1000.0000000000002
33;-181.92043843939632;873.808126917985;308.11231152141164;1000.0000000000002
34;294.9702342430861;541.8838587170219;163.14590703989217;1000.0000000000002
35;-184.5485919718359;878.4734663721092;306.0751255997268;1000.0000000000001
36;301.81453193893617;539.8954822985943;158.2899857624697;1000.0000000000002
37;-187.03037491875318;882.9716314885404;304.05874343021287;1000.0000000000001
38;308.3971709210215;538.0259064600816;153.57692261889707;1000.0000000000002
39;-189.3798313825004;887.313974469657;302.0658569128437;1000.0000000000002
40;314.7382812226993;536.2625743837631;148.9991443935378;1000.0000000000002
41;-191.60880161411728;891.5102620946927;300.0985395194247;1000.0000000000002
42;320.85483722583774;534.5950915003043;144.55007127385804;1000.0000000000001
43;-193.72742596934813;895.5690312868988;298.1583946824494;1000.0000000000001
44;326.76142365787246;533.0146930686997;140.22388327342804;1000.0000000000002
45;-195.74449615520427;899.4978371942454;296.24665896095894;1000.0000000000001
46;332.47075664764634;531.5138823257043;136.01536102664934;1000.0
47;-197.66771122901866;903.3034342062839;294.3642770227347;1000.0
48;337.9940559255872;530.0861722570583;131.91977181735461;1000.0
49;-199.50387012811052;906.9919122687458;292.5119578593649;1000.0000000000001
50;343.3413198894209;528.7258949649394;127.93278514563988;1000.0000000000001
51;-201.2590200215119;910.5688020739381;290.69021794757396;1000.0000000000001
52;348.5215342811765;527.4280572215105;124.05040849731316;1000.0000000000001
53;-202.93857289616642;914.0391578649048;288.8994150312618;1000.0000000000002
