dias;S;I;R;N
0;995.8442647475066;3.071189241379548;1.4098715960461023;1000.3253255849322
1;986.2306546873393;9.3768427834191;5.702713226339577;1001.310210697098
2;957.5932392062065;28.124568873432356;18.47100192280004;1004.1888100024389
3;877.745035007842;80.11239066091466;53.920265286371205;1011.7776909551279
4;691.7234086299184;199.55718837999245;135.66888826900276;1026.9494852789135
5;401.51955316417275;380.84575825474866;261.1812798905247;1043.5465913094463
6;159.43371243741086;525.8639580117442;365.4122162997867;1050.7098867489417
7;49.31014455757852;587.079035681581;415.54077958124697;1051.9299598204066
8;13.910395660337512;602.4291746566827;435.70946107634654;1052.0490313933667
9;3.8516348849651134;602.4395710557118;445.76733451542475;1052.0585404561016
10;1.0714230214487865;598.1015710577952;452.886274586214;1052.0592686654581
11;0.30136669601524413;592.6069194763644;459.1510387047071;1052.0593248770867
12;0.08585651740539513;586.8360439778221;465.1374288165498;1052.0593293117772
13;0.024782653497060027;581.0304641561854;471.00408286095825;1052.0593296706406
14;0.00724794327967476;575.2566994551881;476.7953823019825;1052.0593297004502
15;0.0021474702265413858;569.5329936419424;482.524188590823;1052.0593297029918
16;6.44505061243589E-4;563.864121319441;488.19456387871196;1052.0593297032142
17;1.9590749315530248E-4;558.251054137307;493.8080796584338;1052.0593297032342
18;6.030312050467885E-5;552.6936789401334;499.36559045998183;1052.0593297032356
19;1.8794531860216543E-5;547.1915719288108;504.8677389798932;1052.059329703236
20;5.930152515045435E-6;541.744221958808;510.3151018142753;1052.0593297032358
21;1.8940140447541165E-6;536.3510957421026;515.7082320671193;1052.059329703236
22;6.122440831246377E-7;531.0116570992624;521.0476719917294;1052.059329703236
23;2.002773698585133E-7;525.7253726886653;526.3339568142931;1052.0593297032356
24;6.628993152282805E-8;520.4917137067341;531.5676159302114;1052.0593297032356
25;2.2198053945074263E-8;515.3101563732628;536.7491733077744;1052.059329703235
26;7.51930678174889E-9;510.1801820461936;541.8791476495225;1052.0593297032353
27;2.576207791218483E-9;505.1012772222612;546.958052478398;1052.0593297032356
28;8.926258270080856E-10;500.0729335023092;551.9863962000338;1052.0593297032356
29;3.127443250975551E-10;495.0946475457772;556.9646821571458;1052.0593297032358
